국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한,원본파일
로즈문 리치 카멜리아(동백) 트리트먼트 에센스,Rosemoon Rich Camellia Treatment Essence,EVCO-606,2015.03.18,RSEX000,미황색의 반투명 점액상,95 ml,이 수 진,스포이드에 1/3정도를 채운 다음 얼굴과 목에 3~4방울정도 듬뿍 떨어뜨리고 마사지하듯이 두드리면서 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO606_(RSEX000)-로즈문 리치 카멜리아 트리트먼트 에센스.xls
로즈마인 퍼퓸드 바디로션 모링가,Rose Mind Perfumed Body Lotion Moringa,EVCO-607,2015.03.20,RMBL014,백색의 유액상,1000 ml,이 수 진,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라줍니다. 취침 전이나 건조할 때마다 수시로 바르면 더욱 효과적입니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO607_(RMBL014)-로즈마인 퍼퓸드 바디로션 모링가.xls
로즈마인 퍼퓸드 바디워시 모링가,Rose Mine Perfumed Body Wash Moringa,EVCO-608,2015.03.30,RPBC008,연황색의 불투명 점액상,1000 ml,이 수 진,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO608_(RPBC008)-로즈마인 퍼퓸드 바디워시 모링가.xls
로즈마인 홈폴리쉬 드레스 퍼퓸,Rose Mine Home Polish Dress Perfume,EVCO-609,2015.03.20,RMDM001,무색의 투명한 액체,300 ml,이 수 진,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO609_(RMDM001)-로즈마인 홈폴리쉬 드레스 퍼퓸 체리 베리 폼-.xls
로즈마인 홈폴리쉬 드레스 퍼퓸,Rose Mine Home Polish Dress Perfume,EVCO-609,2015.03.20,RMDM002,무색의 투명한 액체,300 ml,이 수 진,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO609_(RMDM001)-로즈마인 홈폴리쉬 드레스 퍼퓸 체리 베리 폼-.xls
로즈마인 홈폴리쉬 드레스 퍼퓸,Rose Mine Home Polish Dress Perfume,EVCO-609,2015.03.20,RMDM003,무색의 투명한 액체,300 ml,이 수 진,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO609_(RMDM001)-로즈마인 홈폴리쉬 드레스 퍼퓸 체리 베리 폼-.xls
로즈마인 홈폴리쉬 드레스 퍼퓸,Rose Mine Home Polish Dress Perfume,EVCO-609,2015.03.20,RMDM004,무색의 투명한 액체,300 ml,이 수 진,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO609_(RMDM001)-로즈마인 홈폴리쉬 드레스 퍼퓸 체리 베리 폼-.xls
로즈마인 홈폴리쉬 드레스 퍼퓸,Rose Mine Home Polish Dress Perfume,EVCO-609,2015.03.20,RMDM005,무색의 투명한 액체,300 ml,이 수 진,"탈취가 필요한 섬유나 침구, 옷장, 자동차 안 등 다양한 공간에 가볍게 분사해주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO609_(RMDM001)-로즈마인 홈폴리쉬 드레스 퍼퓸 체리 베리 폼-.xls
미미로린스 허니 모이스처 퍼퓸드 바디 워시 플레져,Mimi Lauryne's Honey Moisture Perfumed Body Wash Pleasure,EVCO-610,2015.04.09,MLBC003,연분홍의 펄점액상,300 ml,이 수 진,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO610_(MLBC003)-미미로린스 허니 모이스처 퍼퓸드 바디 워시 플레져.xls
미미로린스 허니 모이스처 퍼퓸드 바디 에멀젼 플레져,Mimi Lauryne's Honey Moisture Perfumed Body Emulsion Pleasure,EVCO-611,2015.04.09,MLBL003,연분홍의 유액상,300 ml,이 수 진,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라줍니다. 취침 전이나 건조할 때마다 수시로 바르면 더욱 효과적입니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO611_(MLBL003)-미미로린스 허니 모이스처 퍼퓸드 바디 에멀젼 플레져.xls
미미로린스 허니 모이스처 퍼퓸드 바디 스플래쉬 플레져,Mimi Lauryne's Honey Moisture Perfumed Body Splash Pleasure,EVCO-612,2015.04.09,MLBS007,분홍색의 투명 액상,300 ml,이 수 진,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO612_(MLBS007)-미미로린스 허니 모이스처 퍼퓸드 바디 스플래쉬 플레져.xls
페디슨 메터니티 퓨어 페미닌 클렌저 플로랄 자무 베이직,Pedison Maternity Pure Feminine Cleanser (Floral Jamu Basic),EVCO-613,2015.04.17,PDIR003,미황색의 투명 점액상,300 ml,이 수 진,적당량을 손에 덜어 충분히 마사지하듯 문질러 준 다음 물로 깨끗이 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO613_(PDIR003)-페디슨 메터니티 퓨어 페미닌 클렌저 플로랄 자무 베이직.xls
로즈마인 홈폴리쉬 퍼퓸 디퓨져,Rose Mine Home Polish Perfume Diffuser,EVCO-614,2015.04.17,RMDF001,,180 ml,이 수 진,"처음 사용시 스틱수를 3~4개 정도로 사용, 원하는 발향 강도에 따라 스틱의 수를 늘려서 사용하십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO614_(RMDF001)-로즈마인 홈폴리쉬 퍼퓸 디퓨져 메이 로즈.xls
로즈마인 홈폴리쉬 퍼퓸 디퓨져,Rose Mine Home Polish Perfume Diffuser,EVCO-614,2015.04.17,RMDF002,,180 ml,이 수 진,"처음 사용시 스틱수를 3~4개 정도로 사용, 원하는 발향 강도에 따라 스틱의 수를 늘려서 사용하십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO614_(RMDF001)-로즈마인 홈폴리쉬 퍼퓸 디퓨져 메이 로즈.xls
로즈마인 홈폴리쉬 퍼퓸 디퓨져,Rose Mine Home Polish Perfume Diffuser,EVCO-614,2015.04.17,RMDF003,,180 ml,이 수 진,"처음 사용시 스틱수를 3~4개 정도로 사용, 원하는 발향 강도에 따라 스틱의 수를 늘려서 사용하십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO614_(RMDF001)-로즈마인 홈폴리쉬 퍼퓸 디퓨져 메이 로즈.xls
로즈마인 홈폴리쉬 퍼퓸 디퓨져,Rose Mine Home Polish Perfume Diffuser,EVCO-614,2015.04.17,RMDF004,,180 ml,이 수 진,"처음 사용시 스틱수를 3~4개 정도로 사용, 원하는 발향 강도에 따라 스틱의 수를 늘려서 사용하십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO614_(RMDF001)-로즈마인 홈폴리쉬 퍼퓸 디퓨져 메이 로즈.xls
로즈마인 홈폴리쉬 퍼퓸 디퓨져,Rose Mine Home Polish Perfume Diffuser,EVCO-614,2015.04.17,RMDF005,,180 ml,이 수 진,"처음 사용시 스틱수를 3~4개 정도로 사용, 원하는 발향 강도에 따라 스틱의 수를 늘려서 사용하십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO614_(RMDF001)-로즈마인 홈폴리쉬 퍼퓸 디퓨져 메이 로즈.xls
미미로린스 씬트 리메인 룸미스트,Mimi Lauryne's Sent Remain Room Mist,EVCO-615,2015.04.21,MLRM001,무색의 투명 액상,120 ml,이 수 진,"서재, 응접실, 침실, 주방 등 원하는 곳에 적당량 스프레이 해 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO615_(MLRM001)-미미로린스 씬트 리메인 룸미스트 프리지아 로맨스.xls
미미로린스 씬트 리메인 룸미스트,Mimi Lauryne's Sent Remain Room Mist,EVCO-615,2015.04.21,MLRM002,무색의 투명 액상,120 ml,이 수 진,"서재, 응접실, 침실, 주방 등 원하는 곳에 적당량 스프레이 해 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO615_(MLRM001)-미미로린스 씬트 리메인 룸미스트 프리지아 로맨스.xls
미미로린스 씬트 리메인 룸미스트,Mimi Lauryne's Sent Remain Room Mist,EVCO-615,2015.04.21,MLRM003,무색의 투명 액상,120 ml,이 수 진,"서재, 응접실, 침실, 주방 등 원하는 곳에 적당량 스프레이 해 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO615_(MLRM001)-미미로린스 씬트 리메인 룸미스트 프리지아 로맨스.xls
미미로린스 씬트 리메인 룸미스트,Mimi Lauryne's Sent Remain Room Mist,EVCO-615,2015.04.21,MLRM004,무색의 투명 액상,120 ml,이 수 진,"서재, 응접실, 침실, 주방 등 원하는 곳에 적당량 스프레이 해 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO615_(MLRM001)-미미로린스 씬트 리메인 룸미스트 프리지아 로맨스.xls
미미로린스 씬트 리메인 룸미스트,Mimi Lauryne's Sent Remain Room Mist,EVCO-615,2015.04.21,MLRM005,무색의 투명 액상,120 ml,이 수 진,"서재, 응접실, 침실, 주방 등 원하는 곳에 적당량 스프레이 해 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO615_(MLRM001)-미미로린스 씬트 리메인 룸미스트 프리지아 로맨스.xls
미미로린스 씬트 리메인 룸미스트,Mimi Lauryne's Sent Remain Room Mist,EVCO-615,2015.04.21,MLRM006,무색의 투명 액상,120 ml,이 수 진,"서재, 응접실, 침실, 주방 등 원하는 곳에 적당량 스프레이 해 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO615_(MLRM001)-미미로린스 씬트 리메인 룸미스트 프리지아 로맨스.xls
에바스 아로마 마일드샤워 바디 클렌저 그린티,EVAS Aroma Mild Shower Body Cleanser Grean Tea,EVCO-616,2015.04.22,NABC011,연녹색의 펄 점액상,750 ml,이 수 진,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지를 후 물로 충분히 행구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO616_(NABC011)-에바스 아로마 마일드샤워 바디 클렌저 그린티.xls
로즈마인 퍼퓸터치 머스크 앤 머스크,Rose Mine Perfume Touch Musk & Musk,EVCO-617,2015.04.23,RMPG007,무색의 투명 젤상,13 g,이 수 진,"손목, 쇄골 등 향기를 연출하고 싶은 부위에 적당량을 덜어 도포하여 주십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO617_(RMPG007)-로즈마인 퍼퓸터치 머스크 앤 머스크.xls
로즈마인 퍼퓸터치 블레싱 블러썸,Rose Mine Perfume Touch Blessing Blossoms,EVCO-618,2015.04.23,RMPG008,미색의 투명 젤상,13 g,이 수 진,"손목, 쇄골 등 향기를 연출하고 싶은 부위에 적당량을 덜어 도포하여 주십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO618_(RMPG008)-로즈마인 퍼퓸터치 블레싱 블러썸.xls
로즈마인 퍼퓸터치 헤스페리데스,Rose Mine Perfume Touch Hesperides,EVCO-619,2015.04.23,RMPG009,무색의 투명 젤상,13 g,이 수 진,"손목, 쇄골 등 향기를 연출하고 싶은 부위에 적당량을 덜어 도포하여 주십시오.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO619_(RMPG009)-로즈마인 퍼퓸터치 헤스페리데스.xls
페디슨 메터니티 에스 모이스트 겔 퓨어,Pedisn Maternity S-Moist Gel Pure,EVCO-620,2015.04.30,PDSG001,무색 투명의 겔,30 ml,이 수 진,사용 시 적당량을 덜어 건조한 부위에 부드럽게 마사지하듯 도포합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO620_(PDSG001)-페디슨 메터니티 에스 모이스트 겔 퓨어.xls
페디슨 메터니티 에스 모이스트 겔 자무,Pedisn Maternity S-Moist Gel Jamu,EVCO-621,2015.04.30,PDSG002,무색 투명의 겔,30 ml,이 수 진,사용 시 적당량을 덜어 건조한 부위에 부드럽게 마사지하듯 도포합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO621_(PDSG002)-페디슨 메터니티 에스 모이스트 겔 자무.xls
로즈마인 퍼퓸드 소프트 스킨 티슈 쁘띠 베이비,Rose Mine Perfumed Skin Tissue Petit Baby,EVCO-622,2015.05.13,RMTS001,무색 투명한 액상,10 매 / 30 g,이 수 진,스티커를 열어 입구를 개봉한 후 물티슈를 한 장씩 꺼내서 사용해주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO622_(RMTS001)-로즈마인 퍼퓸드 소프트 스킨 티슈 쁘띠 베이비.xls
로즈마인 퍼퓸드 소프트 스킨 티슈 글리밍 비쥬,Rose Mine Perfumed Skin Tissue Gleaming Bijou,EVCO-623,2015.05.13,RMTS002,무색 투명한 액상,10 매 / 30 g,이 수 진,스티커를 열어 입구를 개봉한 후 물티슈를 한 장씩 꺼내서 사용해주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO623_(RMTS002)-로즈마인 퍼퓸드 소프트 스킨 티슈 글래밍 비쥬.xls
로즈마인 퍼퓸드 소프트 스킨 티슈 블레싱 블러썸,Rose Mine Perfumed Skin Tissue Blessing Blossoms,EVCO-624,2015.05.13,RMTS003,무색 투명한 액상,10 매 / 30 g,이 수 진,스티커를 열어 입구를 개봉한 후 물티슈를 한 장씩 꺼내서 사용해주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO624_(RMTS003)-로즈마인 퍼퓸드 소프트 스킨 티슈 블레싱 블러썸.xls
로에랑스 마유크림,Roerance Mayu Cream,EVCO-625,2015.05.15,RRCR000,미색의 크림상,50 g,이 수 진,스킨케어 마무리 단계에서 얼굴 전체에 적당량을 도포하여 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO625_(RRCR000)-로에랑스 마유크림.xls
미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 프리지아 로맨스,Mimi Lauryne's Scent Remain EFA Protein Hair Ampoule Freesia Romance,EVCO-626,2015.05.15,MLHA001,노란색의 유액상,120 ml,이 수 진,타올 드라이한 모발에 적당량을 모발 끝을 중심으로 골고루 도포한 후에 영양분이 모발에 흡수될 수 있도록 부드럽게 마사지 해줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO626_(MLHA001)-미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 프리지아 로맨스.xls
미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 프레쉬 라임,Mimi Lauryne's Scent Remain EFA Protein Hair Ampoule Fresh Lime,EVCO-627,2015.05.15,MLHA002,노란색의 유액상,120 ml,이 수 진,타올 드라이한 모발에 적당량을 모발 끝을 중심으로 골고루 도포한 후에 영양분이 모발에 흡수될 수 있도록 부드럽게 마사지 해줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO627_(MLHA002)-미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 프레쉬 라임.xls
미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 어딕씨옹,Mimi Lauryne's Scent Remain EFA Protein Hair Ampoule Addiction,EVCO-628,2015.05.15,MLHA003,노란색의 유액상,120 ml,이 수 진,타올 드라이한 모발에 적당량을 모발 끝을 중심으로 골고루 도포한 후에 영양분이 모발에 흡수될 수 있도록 부드럽게 마사지 해줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO628_(MLHA003)-미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 어딕씨옹.xls
미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 퀸스 플라워,Mimi Lauryne's Scent Remain EFA Protein Hair Ampoule Queen's Flower,EVCO-629,2015.05.15,MLHA004,노란색의 유액상,120 ml,이 수 진,타올 드라이한 모발에 적당량을 모발 끝을 중심으로 골고루 도포한 후에 영양분이 모발에 흡수될 수 있도록 부드럽게 마사지 해줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO629_(MLHA004)-미미로린스 씬트 리메인 EFA 프로테인 헤어 앰플 퀸스 플라워.xls
로즈마인 홈폴리쉬 소이캔들 샤론,Rose Mine Home Polish Soy Candle Sharon,EVCO-630,2015.05.15,RMCD006,진분홍색의 초,625 g,이 수 진,향초의 심지는 깨끗하게 유지하고 심지의 길이를 6mm 정도로 다듬어 주세요. 처음 태우실 때에는 터널 현상을 방지하기 위해 향초에 불을 붙인 다음에는 왁스 성분이 유리병에 웅덩이를 만들 때까지 충분히 연소시킵니다.,,,별첨.4,별첨.5,제품표준서_EVCO630_(RMCD006)-로즈마인 홈폴리쉬 소이캔들 샤론.xls
로즈마인 홈폴리쉬 소이캔들 클린 브리즈,Rose Mine Home Polish Soy Candle Clean Breeze,EVCO-631,2015.05.15,RMCD007,파랑색의 초,625 g,이 수 진,향초의 심지는 깨끗하게 유지하고 심지의 길이를 6mm 정도로 다듬어 주세요. 처음 태우실 때에는 터널 현상을 방지하기 위해 향초에 불을 붙인 다음에는 왁스 성분이 유리병에 웅덩이를 만들 때까지 충분히 연소시킵니다.,,,별첨.4,별첨.5,제품표준서_EVCO631_(RMCD007)-로즈마인 홈폴리쉬 소이캔들 클린 브리즈.xls
미미로린스 하니 수플레 바디 크림 프리지아 로맨스,Mimi Lauryne's Honey Souffle Body Cream Fressia Romance,EVCO-632,2015.05.21,MLCR001,베이지색의 크림상,120 ml,이 수 진,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO632_(MLCR001)-미미로린스 하니 수플레 바디크림 프리지아 로맨스.xls
미미로린스 하니 수플레 바디 크림 프레쉬 라임,Mimi Lauryne's Honey Souffle Body Cream Fresh Lime,EVCO-632,2015.05.21,MLCR002,베이지색의 크림상,120 ml,이 수 진,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO633_(MLCR002)-미미로린스 하니 수플레 바디크림 프레쉬 라임.xls
미미로린스 하니 수플레 바디 크림 플로레종,Mimi Lauryne's Honey Souffle Body Cream Floraison,EVCO-633,2015.05.21,MLCR003,베이지색의 크림상,120 ml,이 수 진,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO634_(MLCR003)-미미로린스 하니 수플레 바디크림 플로레종.xls
미미로린스 하니 수플레 바디 크림 우드 세이지,Mimi Lauryne's Honey Souffle Body Cream Wood Sage,EVCO-635,2015.05.21,MLCR004,베이지색의 크림상,120 ml,이 수 진,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO635_(MLCR004)-미미로린스 하니 수플레 바디크림 우드 세이지.xls
미미로린스 하니 수플레 바디 크림 세인트 로즈,Mimi Lauryne's Honey Souffle Body Cream Saint Rose,EVCO-636,2015.05.21,MLCR005,베이지색의 크림상,120 ml,이 수 진,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO636_(MLCR005)-미미로린스 하니 수플레 바디크림 세인트 로즈.xls
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 플로레종,Mimi Lauryne's Scent Remain Perfumed Body Splash Floraison,EVCO-637,2015.05.22,MLBS008,분홍색의 투명 액상,140 ml,이 수 진,샤워 후 물기를 닦은 후 전신에 골고루 분사하여 주세요. 일상생활 시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO637_(MLBS008)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 플로레종.xls
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 우드 세이지,Mimi Lauryne's Scent Remain Perfumed Body Splash Wood Sage,EVCO-638,2015.05.22,MLBS009,연두색의 투명 액상,140 ml,이 수 진,샤워 후 물기를 닦은 후 전신에 골고루 분사하여 주세요. 일상생활 시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO638_(MLBS009)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 우드 세이지.xls
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 세인트 로즈,Mimi Lauryne's Scent Remain Perfumed Body Splash Saint Rose,EVCO-639,2015.05.22,MLBS010,무색의 투명 액상,140 ml,이 수 진,샤워 후 물기를 닦은 후 전신에 골고루 분사하여 주세요. 일상생활 시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO639_(MLBS010)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 세인트 로즈.xls
오네트 인텐시브 케어 트리트먼트 에센스,Honnete Intensive Care Treatment Essence,EVCO-640,2015.05.28,ONSL001,미색의 투명 액상,150 ml,이 수 진,세안 후 적당량을 화장솜에 적셔 피부결을 따라 부드럽게 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO640_(ONSL001)-오네트 인텐시브 케어 트리트먼스 에센스.xls
오네트 인텐시브 케어 트리트먼트 에멀젼,Honnete Intensive Care Treatment Emulsion,EVCO-641,2015.05.28,ONML001,백색의 유액상,150 ml,이 수 진,"아침, 저녁 셀 케어 세럼 사용 후 적당량을 덜어 얼굴과 목 부위에 부드럽게 발라줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO641_(ONML001)-오네트 인텐시브 케어 트리트먼스 에멀젼.xls
오네트 인텐시브 케어 셀 케어 세럼,Honnete Intensive Care Cell Care Serum,EVCO-642,2015.05.28,ONSR001,무색의 불투명 점액상,35 ml,이 수 진,"아침, 저녁 기초 손질 시 트리트먼트 에센스 사용 후 적당량을 덜어 얼굴과 목에 골고루 바른 후 가볍게 두드리면서 흡수시킵니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO642_(ONSR001)-오네트 인텐시브 케어 셀 케어 세럼.xls
오네트 인텐시브 케어 딥 모이스트 크림,Honnete Intensive Care Deep Moist Cream,EVCO-643,2015.05.28,ONCR001,백색의 크림상,50 ml,이 수 진,기초 손질 시 마지막 단계에 적당량을 덜어 얼굴과 목에 골고루 바른 후 가볍게 두드리면서 흡수시킵니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO643_(ONCR001)-오네트 인텐시브 케어 딥 모이스트 크림.xls
로즈마인 퍼퓸드 바디 미스트 플로랄 어도르,Rose Mine Perfumed Body Mist Floral Adore,EVCO-644,2015.06.05,RMMT001,무색의 투명 액상,100 ml,이 수 진,"샤워 후, 물기를 닦은 다음 전신에 골고루 분사하여 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO644_(RMMT001)-로즈마인 퍼퓸드 바디 미스트 플로랄 어도르.xls
로즈마인 퍼퓸드 바디 미스트 글래밍 비쥬,Rose Mine Perfumed Body Mist Gleaming Bijou,EVCO-644,2015.06.05,RMMT002,무색의 투명 액상,100 ml,이 수 진,"샤워 후, 물기를 닦은 다음 전신에 골고루 분사하여 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO645_(RMMT002)-로즈마인 퍼퓸드 바디 미스트 글래밍 비쥬.xls
로즈마인 퍼퓸드 바디 미스트 머스크 앤 머스크,Rose Mine Perfumed Body Mist Musk & Musk,EVCO-646,2015.06.05,RMMT003,무색의 투명 액상,100 ml,이 수 진,"샤워 후, 물기를 닦은 다음 전신에 골고루 분사하여 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO646_(RMMT003)-로즈마인 퍼퓸드 바디 미스트 머스크 앤 머스크.xls
로즈마인 퍼퓸드 바디 미스트 헤스페리데스,Rose Mine Perfumed Body Mist Hesperides,EVCO-647,2015.06.05,RMMT004,무색의 투명 액상,100 ml,이 수 진,"샤워 후, 물기를 닦은 다음 전신에 골고루 분사하여 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO647_(RMMT004)-로즈마인 퍼퓸드 바디 미스트 헤스페리데스.xls
로즈마인 퍼퓸드 바디 미스트 나나즈 릴리,Rose Mine Perfumed Body Mist Nana's Lily,EVCO-648,2015.06.05,RMMT005,무색의 투명 액상,100 ml,이 수 진,"샤워 후, 물기를 닦은 다음 전신에 골고루 분사하여 주세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.4,제품표준서_EVCO648_(RMMT005)-로즈마인 퍼퓸드 바디 미스트 나나즈 릴리.xls
로즈마인 뷰티루어 아이섀도우 팔레트 도로시,Rose Mine Beautylure Eye Shadow Palette Dorocy,EVCO-649,2015.05.20,RMES3T1,압착분말상,3색 각 2.5 g,이 수 진,눈 두덩이등에 가볍게 발라 매력적인 눈매로 연출해 줍니다.,,,3색 각 2.5 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO649_(RMES3T1)-로즈마인 뷰티루어 아이섀도우 팔레트 도로시.xls
로즈마인 뷰티루어 아이섀도우 팔레트 앨리스,Rose Mine Beautylure Eye Shadow Palette Alice,EVCO-650,2015.05.20,RMES3T2,압착분말상,3색 각 2.5 g,이 수 진,눈 두덩이등에 가볍게 발라 매력적인 눈매로 연출해 줍니다.,,,3색 각 2.5 g,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO650_(RMES3T2)-로즈마인 뷰티루어 아이섀도우 팔레트 앨리스.xls
