국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한_x,원본파일,순번,등록일,excel_관리번호,excel_제품명국문,excel_제품명영문,"표시
용량","충진
용량
()",비중,pH기준,"점,경도기준","권장사용
나이",원료목록보고,"표준화
명칭적용",책임판매업적용,알러지물질표기,사용기한_y,재활용등급표시,문안표기대상부자재,기능성,라벨부착위치,버진라벨,대박스,입수량,비고,data_source,관리번호_일치,제품명_일치
미미로린스 씬트 리메인 디퓨져 리필 프레쉬 라임,Mimi Lauryne's Scent Remain Diffuser Refill Fresh Lime,EVCO-452,2014.04.10,MLDFR05,황색의 투명액상,170 ml,신혜정,방향제,,,별첨.7,자율안전확인시고필증번호: B072H361-2001,제품표준서_EVCO452_(MLDFR05)-미미로린스 씬트 리메인 디퓨져 프레쉬 라임.xls,359,14.04.10,EVCO-452,미미로린스 씬트 리멘인 디퓨져 리필 프레쉬 라임,,,,,,,,,,,,,,,,,,,,,both,True,True
네이처 위즈덤 허벌 수딩 젤 카멜리아,Nature Wisdom Hebal Soothing Gel Camellia,EVCO-455,2014.04.15,NWSG001,연한 붉은색의 투명 젤상,60 ml,신혜정,"얼굴, 몸 등 건조하고 민감해진 부분에 수시로 도포하여 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO455_(NWSG001)-네이처 위즈덤 허벌 수딩 젤 카멜리아.xls,362,14.04.15,EVCO-455,네이처 위즈덤 허벌 수딩 젤 카멜리아,,,,,,,,,,,,,,,,,,,,,both,True,True
네이처 위즈덤 허벌 수딩 젤 딥 스파,Nature Wisdom Hebal Soothing Deep Spa,EVCO-456,2014.04.15,NWSG002,연한 파란색의 투명 젤상,60 ml,신혜정,"얼굴, 몸 등 건조하고 민감해진 부분에 수시로 도포하여 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO456_(NWSG002)-네이처 위즈덤 허벌 수딩 젤 딥 스파.xls,363,14.04.15,EVCO-456,네이처 위즈덤 허벌 수딩 젤 딥 스파,,,,,,,,,,,,,,,,,,,,,both,True,True
네이처 위즈덤 허벌 수딩 젤 코코넛,Nature Wisdom Hebal Soothing Gel Coconut,EVCO-457,2014.04.15,NWSG003,무색의 투명 젤상,60 ml,신혜정,"얼굴, 몸 등 건조하고 민감해진 부분에 수시로 도포하여 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO457_(NWSG003)-네이처 위즈덤 허벌 수딩 젤 코코넛.xls,364,14.04.15,EVCO-457,네이처 위즈덤 허벌 수딩 젤 코코넛,,,,,,,,,,,,,,,,,,,,,both,True,True
네이처 위즈덤 허벌 수딩 젤 트로피칼,Nature Wisdom Hebal Soothing Gel Tropical,EVCO-458,2014.04.15,NWSG004,연한 황색의 투명 젤상,60 ml,신혜정,"얼굴, 몸 등 건조하고 민감해진 부분에 수시로 도포하여 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO458_(NWSG004)-네이처 위즈덤 허벌 수딩 젤 트로피칼.xls,365,14.04.15,EVCO-458,네이처 위즈덤 허벌 수딩 젤 트로피칼,,,,,,,,,,,,,,,,,,,,,both,True,True
네이처 위즈덤 허벌 수딩 젤 그린티,Nature Wisdom Hebal Soothing Green Tea,EVCO-459,2014.04.15,NWSG005,연한 녹색의 투명 젤상,60 ml,신혜정,"얼굴, 몸 등 건조하고 민감해진 부분에 수시로 도포하여 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO459_(NWSG005)-네이처 위즈덤 허벌 수딩 젤 그린티.xls,366,14.04.15,EVCO-459,네이처 위즈덤 허벌 수딩 젤 그린티,,,,,,,,,,,,,,,,,,,,,both,True,True
탑룩 바디클렌저 스트로베리,TOPLOOK Body Cleanser Strawberry,EVCO-460,2014.04.17,TLBC001,연분홍색 불투명 펄 점액상,500 ml,신혜정,"세안 또는 목용시, 적당량을 손이나 타올에 덜어 거품을 낸 후, 얼굴이나 전신에 골고루 마사지하듯 문지른 다음, 물로 충분히 헹구어 냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO460_(TLBC001)-탑룩 바디클렌저 스트로베리.xls,367,14.04.17,EVCO-460,탑룩 바디클렌저 스트로베리,,,,1.012,,,,,,,,,,,,,,,,,both,True,True
탑룩 바디클렌저 그레이프 후르츠,TOPLOOK Body Cleanser Grape Fruit,EVCO-461,2014.04.17,TLBC002,주황색의 투명점액상,500 ml,신혜정,"세안 또는 목용시, 적당량을 손이나 타올에 덜어 거품을 낸 후, 얼굴이나 전신에 골고루 마사지하듯 문지른 다음, 물로 충분히 헹구어 냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO461_(TLBC002)-탑룩 바디클렌저 그레이프 후르츠.xls,368,14.04.17,EVCO-461,탑룩 바디클렌저 그레이프 후르츠,,,,1.012,,,,,,,,,,,,,,,,,both,True,True
탑룩 바디클렌저 골드 허니,TOPLOOK Body Cleanser Gold Honey,EVCO-462,2014.04.17,TLBC003,노란색의 투명 점액상,500 ml,신혜정,"세안 또는 목용시, 적당량을 손이나 타올에 덜어 거품을 낸 후, 얼굴이나 전신에 골고루 마사지하듯 문지른 다음, 물로 충분히 헹구어 냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO462_(TLBC003)-탑룩 바디클렌저 골드 허니.xls,369,14.04.17,EVCO-462,탑룩 바디클렌저 골드 허니,,,,1.012,,,,,,,,,,,,,,,,,both,True,True
미미로린스 씬트 리메인 프로테인 샴푸 프리지아 로맨스,Mimi Lauryne's Scent Remain Protein Shampoo Freesia Romance,EVCO-463,2014.04.25,MLSP001,노란색의 반투명 점액상,300 ml,신혜정,적신 머리에 적당량을 덜어 모발과 두피에 부드럽게 마사지하듯 거품을 충분히 낸 후 미온수로 깨끗이 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO463_(MLSP001)-미미로린스 씬트 리메인 프로테인 샴푸 프리지아 로맨스.xls,370,14.04.25,EVCO-463,미미로린스 씬트 리메인 프로테인 샴푸 프리지아 로맨스,Mimi Lauryne's Scent Remain Protein Shampoo Freesia Romance,300ml,303,1.010,,,,,,,,,,단상자,,,,,,,both,True,True
미미로린스 씬트 리메인 프로테인 샴푸 프레쉬 라임,Mimi Lauryne's Scent Remain Protein Shampoo Fresh Lime,EVCO-464,2014.04.25,MLSP002,노란색의 반투명 점액상,300 ml,신혜정,적신 머리에 적당량을 덜어 모발과 두피에 부드럽게 마사지하듯 거품을 충분히 낸 후 미온수로 깨끗이 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO464_(MLSP002)-미미로린스 씬트 리메인 프로테인 샴푸 프레쉬 라임.xls,371,14.04.25,EVCO-464,미미로린스 씬트 리메인 프로테인 샴푸 프레쉬 라임,Mimi Lauryne's Scent Remain Protein Shampoo Fresh Lime,300ml,303,1.010,,,,,,,,,,단상자,,,,,,,both,True,True
미미로린스 씬트 리메인 프로테인 샴푸 어딕씨옹,Mimi Lauryne's Scent Remain Protein Shampoo Addiction,EVCO-465,2014.04.25,MLSP003,노란색의 반투명 점액상,300 ml,신혜정,적신 머리에 적당량을 덜어 모발과 두피에 부드럽게 마사지하듯 거품을 충분히 낸 후 미온수로 깨끗이 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO465_(MLSP003)-미미로린스 씬트 리메인 프로테인 샴푸 어딕씨옹.xls,372,14.04.25,EVCO-465,미미로린스 씬트 리메인 프로테인 샴푸 어딕씨옹,Mimi Lauryne's Scent Remain Protein Shampoo Addiction,300ml,303,1.010,,,,,,,,,,단상자,,,,,,,both,True,True
미미로린스 씬트 리메인 프로테인 컨디셔너 프리지아 로맨스,Mimi Lauryne's Scent Remain Protein Conditioner Freesia Romance,EVCO-466,2014.04.29,MLRS001,노란색의 유액상,300 ml,신혜정,샴푸 후 적당량을 덜어 모발 전체에 펴 바르고 마사지합니다. 2-3분 후 물로 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO466_(MLRS001)-미미로린스 씬트 리메인 프로테인 컨디셔너 프리지아 로맨스.xls,373,14.04.29,EVCO-466,미미로린스 씬트 리메인 프로테인 컨디셔너 프리지아 로맨스,Mimi Lauryne's Scent Remain Protein Conditioner Freesia Romance,300ml,266,0.999,,,,,,,,,,단상자,,,,,,,both,True,True
미미로린스 씬트 리메인 프로테인 컨디셔너 프레쉬 라임,Mimi Lauryne's Scent Remain Protein Conditioner Fresh Lime,EVCO-467,2014.04.29,MLRS002,노란색의 유액상,300 ml,신혜정,샴푸 후 적당량을 덜어 모발 전체에 펴 바르고 마사지합니다. 2-3분 후 물로 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO467_(MLRS002)-미미로린스 씬트 리메인 프로테인 컨디셔너 프레쉬 라임.xls,374,14.04.29,EVCO-467,미미로린스 씬트 리메인 프로테인 컨디셔너 프레쉬 라임,Mimi Lauryne's Scent Remain Protein Conditioner Fresh Lime,300ml,266,0.999,,,,,,,,,,단상자,,,,,,,both,True,True
미미로린스 씬트 리메인 프로테인 컨디셔너 어딕씨옹,Mimi Lauryne's Scent Remain Protein Conditioner Addiction,EVCO-468,2014.04.29,MLRS003,노란색의 유액상,300 ml,신혜정,샴푸 후 적당량을 덜어 모발 전체에 펴 바르고 마사지합니다. 2-3분 후 물로 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO468_(MLRS003)-미미로린스 씬트 리메인 프로테인 컨디셔너 어딕씨옹.xls,375,14.04.29,EVCO-468,미미로린스 씬트 리메인 프로테인 컨디셔너 어딕씨옹,Mimi Lauryne's Scent Remain Protein Conditioner Addiction,300ml,266,0.999,,,,,,,,,,단상자,,,,,,,both,True,True
미미 로린스 씬트 리메인 프로테인 헤어 세럼 프리지아 로맨스,Mimi Lauryne's Scent Remain Protein Hair Serum Freesia Romance,EVCO-469,2014.04.30,MLHS001,반투명 무색의 오일상,100 ml,신혜정,샴푸 후 물기를 말리고 손바닥에 적당량을 덜어 손상부위를 중심으로 조금씩 펴 바르고 손에 남은 잔량으로 모발 전체에 가볍게 펴 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO469_(MLHS001)-미미로린스 씬트 리메인 프로테인 헤어 세럼 프리지아 로맨스.xls,376,14.04.30,EVCO-469,미미로린스 씬트 리메인 프로테인 헤어 세럼 프리지아 로맨스,Mimi Lauryne's Scent Remain Protein Hair Serum Freesia Romance,100ml,95,0.934,,,,,O,,,,,라벨,,,,,,,both,True,True
미미 로린스 씬트 리메인 프로테인 헤어 세럼 프레쉬 라임,Mimi Lauryne's Scent Remain Protein Hair Serum Fresh Lime,EVCO-470,2014.04.30,MLHS002,반투명 무색~연황색 오일상,100 ml,신혜정,샴푸 후 물기를 말리고 손바닥에 적당량을 덜어 손상부위를 중심으로 조금씩 펴 바르고 손에 남은 잔량으로 모발 전체에 가볍게 펴 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO470_(MLHS002)-미미로린스 씬트 리메인 프로테인 헤어 세럼 프레쉬 라임.xls,377,14.04.30,EVCO-470,미미로린스 씬트 리메인 프로테인 헤어 세럼 프레쉬 라임,Mimi Lauryne's Scent Remain Protein Hair Serum Fresh Lime,100ml,95,0.934,,,,,,,,,,라벨,,,,,,,both,True,True
미미 로린스 씬트 리메인 프로테인 헤어 세럼 어딕씨옹,Mimi Lauryne's Scent Remain Protein Hair Serum Addiction,EVCO-471,2014.04.30,MLHS003,반투명 무색 오일상,100 ml,신혜정,샴푸 후 물기를 말리고 손바닥에 적당량을 덜어 손상부위를 중심으로 조금씩 펴 바르고 손에 남은 잔량으로 모발 전체에 가볍게 펴 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO471_(MLHS003)-미미로린스 씬트 리메인 프로테인 헤어 세럼 어딕씨옹.xls,378,14.04.30,EVCO-471,미미로린스 씬트 리메인 프로테인 헤어 세럼 어딕씨옹,Mimi Lauryne's Scent Remain Protein Hair Serum Addiction,100ml,95,0.934,,,,,,,,,,라벨,,,,,,,both,True,True
애스톤네이처 프로방스 상떼 바디클렌저 유칼립투스티,ASTON NATURE Provence Sante Body Cleanser Eucalyptus Tea,EVCO-472,2014.05.16,ANBC001,연녹색의 투명 점액상,1000 ml,신혜정,적당량을 목욕용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯이 문지른 후 깨끗이 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO472_(ANBC001)-애스톤네이처 프로방스 상떼 바디 클렌저 유칼립투스티.xls,379,14.05.16,EVCO-472,애스톤네이처 프로방스 상떼 바디클렌저 유칼립투스티,,1000ml,1002,1.015,,,,,,,,,,라벨,,,,,,㈜여우무기,both,True,True
애스톤네이처 프로방스 상떼 바디클렌저 센슈얼 머스크,ASTON NATURE Provence Sante Body Cleanser Sensual Musk,EVCO-473,2014.05.16,ANBC002,미황색의 투명 점액상,1000 ml,신혜정,적당량을 목욕용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯이 문지른 후 깨끗이 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO473_(ANBC002)-애스톤네이처 프로방스 상떼 바디 클렌저 센슈얼 머스크.xls,380,14.05.16,EVCO-473,애스톤네이처 프로방스 상떼 바디클렌저 센슈얼 머스크,,1000ml,1002,1.015,,,,,,,,,,라벨,,,,,,㈜여우무기,both,True,True
애스톤네이처 프로방스 상떼 바디클렌저 아로마틱 라벤더,ASTON NATURE Provence Sante Body Cleanser Aromatic Lavender,EVCO-474,2014.05.16,ANBC003,보라색의 투명 점액상,1000 ml,신혜정,적당량을 목욕용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯이 문지른 후 깨끗이 씻어냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO474_(ANBC003)-애스톤네이처 프로방스 상떼 바디 클렌저 아로마틱 라벤더.xls,381,14.05.16,EVCO-474,애스톤네이처 프로방스 상떼 바디클렌저 아로마틱 라벤더,,1000ml,1002,1.015,,,,,,,,,,라벨,,,,,,㈜여우무기,both,True,True
에바스 나이아드 바디워시,EVAS Naiad Body Wash,EVCO-475,2014.05.20,NDBC000,연분홍색 펄 점액상,800 ml,신혜정,적당량을 덜어 목욕 스폰지나 타올에 묻혀 충분히 거품을 낸 후 전신에 마사지 하듯 문지른 다음 물로 씻어내십시오.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO475_(NDBC000)-에바스 나이아드 바디워시.xls,,,,,,,,,,,,,,,,,,,,,,,,,csv_only,True,True
에바스 나이아드 헤어샴푸,EVAS Naiad Hair Shampoo,EVCO-476,2014.05.19,NDSP000,백색 펄 점액상,800 ml,신혜정,적신 머리에 적당량을 덜어 모발과 두피에 부드럽게 마사지하듯 거품을 낸 후 미온수로 깨끗이 헹구어 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO476_(NDSP000)-에바스 나이아드 헤어샴푸.xls,383,14.05.23,EVCO-476,에바스 나이아드 헤어샴푸,,,,,,,,,,,,,,,,,,,,,both,True,True
에바스 나이아드 헤어린스,EVAS Naiad Hair Conditioner,EVCO-477,2014.5.21,NDRS000,연분홍 유액상,800 ml,신혜정,샴푸 후 적당량을 손에 덜어 모발에 골고루 펴 바른 후 미온수로 깨끗이 헹구어 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO477_(NDRS000)-에바스 나이아드 헤어린스.xls,384,14.05.23,EVCO-477,에바스 나이아드 헤어린스,,,,,,,,,,,,,,,,,,,,,both,True,True
에바스 나이아드 맨 로션,EVAS Naiad Man Lotion,EVCO- 478,2014.05.26,NMML000,백색의 유액상,150 ml,이수진,스킨 사용 후 적당량을 부드럽게 펴 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO478_(NMML000)-에바스 나이아드 맨 로션.xls,385,14.05.26,EVCO-478,에바스 나이아드 맨 로션,,,,,,,,,,,,,,,,,,,,,both,False,True
에바스 나이아드 맨 스킨,EVAS Naiad Men Skin,EVCO- 479,2014.05.26,NMSL000,엹은 파랑색의 액상,150 ml,이수진,세안이나 면도 후 적당량을 덜어 얼굴과 목에 두드리듯이 발라줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO479_(NMSL000)-에바스 나이아드 맨 스킨.xls,386,14.05.26,EVCO-479,에바스 나이아드 맨 스킨,,,,0.956,,,,,,,,,,,,,,,,,both,False,True
로즈마인 오드뚜왈렛 머스크앤머스크,Rose Mine Eau de Toilette Musk & Musk,EVCO- 480,2014.05.26,RMET001,무색의 액상,185 ml,이수진,"샤워 후 적당량을 덜어 전신에 바르거나, 외출 시 손목, 귀 뒤, 가슴 등 맥박이 뛰는 부위에 소량을 향수처럼 사용합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO480_(RMET001)-로즈마인 오 드 뚜왈렛 머스크 앤 머스크.xls,387,14.05.26,EVCO-480,로즈마인 오 드 뚜왈렛 머스크 앤 머스크,,,,0.890,,,,,,,,,,,,,,,,,both,False,True
에바스 나이아드 로션,EVAS Naiad Lotion,EVCO-481,2014.05.27,NDML000,백색의 유액상,150 ml,이수진,스킨 사용 후 손바닥 위에 적당량을 취해 피부결을 따라 얼굴 전체에 골고루 발라준 다음 손바닥으로 지긋이 눌러 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO481_(NDML000)-에바스 나이아드 로션.xls,388,14.05.27,EVCO-481,에바스 나이아드 로션,,,,,,,,,,,,,,,,,,,,,both,True,True
에바스 나이아드 스킨,EVAS Naiad Skin,EVCO-482,2014.05.27,NDSL000,연한 분홍색의 점액상,150 ml,이수진,세안 후 적당량을 화장솜에 적셔 피부결을 따라 부드럽게 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO482_(NDSL000)-에바스 나이아드 스킨.xls,389,14.05.27,EVCO-482,에바스 나이아드 스킨,,,,1.005,,,,,,,,,,,,,,,,,both,True,True
에바스 아로마 폼 클렌저 알로에,EVAS Aroma Fome Cleanser Aloe,EVCO-483,2014.05.30,ARFC001,백색의 유액상,150 ml,이수진,세안 시 물기가 있는 손에 적당량을 취해 충분히 거품을 낸 후 얼굴을 마사지하듯 문지르고 미온수로 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO483_(ARFC001)-에바스 아로마 폼 클렌저 알로에.xls,390,14.05.30,EVCO-483,에바스 아로마 폼 클렌저 알로에,,150ml,142,0.946,,,,,,,,,,튜브/단상자,,,,,,,both,True,True
에바스 아로마 폼 클렌저 홍삼,EVAS Aroma Fome Cleanser Red Ginseng,EVCO-484,2014.05.30,ARFC002,백색의 점액상,150 ml,이수진,세안 시 물기가 있는 손에 적당량을 취해 충분히 거품을 낸 후 얼굴을 마사지하듯 문지르고 미온수로 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO484_(ARFC002)-에바스 아로마 폼 클렌저 홍삼.xls,391,14.05.30,EVCO-484,에바스 아로마 폼 클렌저 홍삼,,150ml,141,0.939,,,,,,,,,,튜브/단상자,,,,,,,both,True,True
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 프리지아 로맨스,Mimi Lauryne's Scent Remain Perfumed Body Splash Freesia Romance,EVCO- 485,2014.06.02,MLBS001,연분홍색의 투명 액상,145ml,이수진,샤워 후 물기를 닦은 다음 전신에 골고루 분사하여 주세요. 일상 생활시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO485_(MLBS001)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 프리지아 로맨스.xls,392,14.06.02,EVCO-485,미미로린스 씬트 리메인 퍼퓸드 바디 스플레쉬 프리지아 로맨스,,140ml,125,0.890,,,,,,,,,,단상자,,,,,,,both,False,True
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 프레쉬 라임,Mimi Lauryne's Scent Remain Perfumed Body Splash Fresh Lime,EVCO- 486,2014.06.02,MLBS002,연두색의 투명 액상,145ml,이수진,샤워 후 물기를 닦은 다음 전신에 골고루 분사하여 주세요. 일상 생활시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO486_(MLBS002)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 프레쉬 라임.xls,393,14.06.02,EVCO-486,미미로린스 씬트 리메인 퍼퓸드 바디 스플레쉬 프레쉬 라임,,140ml,125,0.888,,,,,,,,,,단상자,,,,,,,both,False,True
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 블랙베리,Mimi Lauryne's Scent Remain Perfumed Body Splash Black Berry,EVCO- 487,2014.06.02,MLBS003,무색의 투명 액상,145ml,이수진,샤워 후 물기를 닦은 다음 전신에 골고루 분사하여 주세요. 일상 생활시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO487_(MLBS003)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 블랙베리.xls,394,14.06.02,EVCO-487,미미로린스 씬트 리메인 퍼퓸드 바디 스플레쉬 블랙베리,,140ml,125,0.892,,,,,,,,,,단상자,,,,,,,both,False,True
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 퀸스 플라워,Mimi Lauryne's Scent Remain Perfumed Body Splash Queen's Flower,EVCO- 488,2014.06.02,MLBS004,연보라색의 투명 액상,145ml,이수진,샤워 후 물기를 닦은 다음 전신에 골고루 분사하여 주세요. 일상 생활시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO488_(MLBS004)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 퀸스 플라워.xls,395,14.06.02,EVCO-488,미미로린스 씬트 리메인 퍼퓸드 바디 스플레쉬 퀸스 플라워,,140ml,125,0.890,,,,,,,,,,단상자,,,,,,,both,False,True
미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 오렌지 가든,Mimi Lauryne's Scent Remain Perfumed Body Splash Orange Garden,EVCO- 489,2014.06.02,MLBS005,연주황색의 투명 액상,145ml,이수진,샤워 후 물기를 닦은 다음 전신에 골고루 분사하여 주세요. 일상 생활시 건조함이 느껴질 때 수시로 뿌려주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO489_(MLBS005)-미미로린스 씬트 리메인 퍼퓸드 바디 스플래쉬 오렌지 가든.xls,396,14.06.02,EVCO-489,미미로린스 씬트 리메인 퍼퓸드 바디 스플레쉬 오렌지 가든,,140ml,125,0.890,,,,,,,,,,단상자,,,,,,,both,False,True
인슬림 아르간 오일 헤어 세럼,Inslim Argan Oil Hair Serum,EVCO-490,2014.06.05,ISHS000,투명 무색 오일상,200 ml,이수진,샴푸 후 물기를 말리고 손바닥에 적당량을 덜어 손상부위를 중심으로 조금씩 펴 바르고 손에 남은 잔량으로 모발 전체에 가볍게 펴 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO490_(ISHS000)-인슬림 아르간 오일 헤어 세럼.xls,397,14.06.05,EVCO-490,인슬림 아르간 오일 헤어 세럼,,,,,,,,,,,,,,,,,,,,,both,True,True
위드미 미네랄 글로우 비비 뷰티밤,Withme Mineral Glow Beuty Balm,EVCO- 491,2014.06.05,WMSB001,갈색의 크림상,45 ml,이 수 진,"스킨케어 마지막 단계에서 사용하세요. 적당량을 덜어 스폰지, 브러시 또는 손끝을 사용하여 얼굴에 바르세요.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO491_(WMSB001)-위드미 미네랄 글로우 비비 뷰티밤(SPF38).xls,398,14.06.05,EVCO-491,위드미 미네랄 글로우 비비 뷰티밤 (SPF38),,,,1.083,,,,,,,,,,,,,,,,,both,False,True
위드미 미네랄 페이스 프로텍트,Withme Mineral Face Protect,EVCO- 492,2014.06.05,WMSB002,갈색의 크림상,45 ml,이 수 진,"외출하기 전, 모이스춰라이저 다음 단계에서 적당한 양을 얼굴과 목에 바릅니다. 메이크업 위에도 수시로 덧바를 수 있습니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO492_(WMSB002)-위드미 미네랄 페이스 프로텍트(SPF50).xls,399,14.06.05,EVCO-492,위드미 미네랄 페이스 프로텍트 (SPF50),,,,1.095,,,,,,,,,,,,,,,,,both,False,False
빅 바틀 프레쉬 폼,Big Bottle Fresh Foam,EVCO-493,2014.06.11,BBFC000,백색의 점액상,150 ml,이수진,"적당량을 덜어낸 후 충분한 거품을 내어 1~2분간 볼, 이마, 코, 턱 순으로 동그란 원을 그리듯이 세안합니다. 미온수로 얼굴에 물을 튀기듯이 거품을 닦아 낸 후 차가운 물로 행궈주면 피부에 탄력이 증가합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO493_(BBFC000)-빅 바틀 프레쉬 폼.xls,400,14.06.11,EVCO-493,빅 바틀 프레쉬 폼,,,,0.962,,,,,,,,,,,,,,,,제이앤와이,both,True,True
로즈마인 퍼퓸드 바디워시 블레싱 블러썸,Rose Mine Perfumed Body Wash Blessing Blossom,EVCO-494,2014.06.17,RPBC006,연분홍색의 불투명 점액상,1000 ml,이수진,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,별첨.6,제품표준서_EVCO494_(RPBC006)-로즈마인 퍼퓸드 바디워시 블레싱 블러썸.xls,401,14.06.17,EVCO-494,로즈마인 퍼퓸드 바디워시 블레싱 블러썸,Rose Mine Perfumed Body Wash Blessing Blossom,1000ml,1016,1.021,5.5 ± 1.0,"5,000 ± 3,000",,0,0,0,,3년,어려움,라벨,,,X,전용박스,,,both,True,True
